@relation cojuntocarros

@ATTRIBUTE x1 REAL
@ATTRIBUTE x2 {3,4,6,8}
@ATTRIBUTE x3 REAL
@ATTRIBUTE x4 REAL
@ATTRIBUTE x5 REAL
@ATTRIBUTE x6 REAL
@ATTRIBUTE x7 REAL
@ATTRIBUTE x8 {1,2,3}
@ATTRIBUTE x9 {chevrolet,buick,plymouth,amc,ford,pontiac,citroen,dodge,toyota,datsun,volkswagen,peugeot,audi,saab,bmw,chevy,hi,mercury,opel,fiat,oldsmobile,chrysler,mazda,volvo,renault,honda,subaru,capri,vw,mercedes,cadillac,triumph,nissan}


@data

18.0,8,307.0,130.0,3504.00,12.0,70.0,1,chevrolet
15.0,8,350.0,165.0,3693.00,11.5,70.0,1,buick
18.0,8,318.0,150.0,3436.00,11.0,70.0,1,plymouth
16.0,8,304.0,150.0,3433.00,12.0,70.0,1,amc
17.0,8,302.0,140.0,3449.00,10.5,70.0,1,ford
15.0,8,429.0,198.0,4341.00,10.0,70.0,1,ford
14.0,8,454.0,220.0,4354.00,9.0,70.0,1,chevrolet
14.0,8,440.0,215.0,4312.00,8.5,70.0,1,plymouth
14.0,8,455.0,225.0,4425.00,10.0,70.0,1,pontiac
15.0,8,390.0,190.0,3850.00,8.5,70.0,1,amc
15.0,8,383.0,170.0,3563.00,10.0,70.0,1,dodge
14.0,8,340.0,160.0,3609.00,8.0,70.0,1,plymouth
15.0,8,400.0,150.0,3761.00,9.5,70.0,1,chevrolet
14.0,8,455.0,225.0,3086.00,10.0,70.0,1,buick
24.0,4,113.0,95.0,2372.00,15.0,70.0,3,toyota
22.0,6,198.0,95.0,2833.00,15.5,70.0,1,plymouth
18.0,6,199.0,97.0,2774.00,15.5,70.0,1,amc
21.0,6,200.0,85.0,2587.00,16.0,70.0,1,ford
27.0,4,97.0,88.0,2130.00,14.5,70.0,3,datsun
26.0,4,97.0,46.0,1835.00,20.5,70.0,2,volkswagen
25.0,4,110.0,87.0,2672.00,17.5,70.0,2,peugeot
24.0,4,107.0,90.0,2430.00,14.5,70.0,2,audi
25.0,4,104.0,95.0,2375.00,17.5,70.0,2,saab
26.0,4,121.0,113.0,2234.00,12.5,70.0,2,bmw
21.0,6,199.0,90.0,2648.00,15.0,70.0,1,amc
10.0,8,360.0,215.0,4615.00,14.0,70.0,1,ford
10.0,8,307.0,200.0,4376.00,15.0,70.0,1,chevy
11.0,8,318.0,210.0,4382.00,13.5,70.0,1,dodge
9.0,8,304.0,193.0,4732.00,18.5,70.0,1,hi
27.0,4,97.0,88.0,2130.00,14.5,71.0,3,datsun
28.0,4,140.0,90.0,2264.00,15.5,71.0,1,chevrolet
25.0,4,113.0,95.0,2228.00,14.0,71.0,3,toyota
25.0,4,98.0,104.0,2046.00,19.0,71.0,1,ford
19.0,6,232.0,100.0,2634.00,13.0,71.0,1,amc
16.0,6,225.0,105.0,3439.00,15.5,71.0,1,plymouth
17.0,6,250.0,100.0,3329.00,15.5,71.0,1,chevrolet
19.0,6,250.0,88.0,3302.00,15.5,71.0,1,ford
18.0,6,232.0,100.0,3288.00,15.5,71.0,1,amc
14.0,8,350.0,165.0,4209.00,12.0,71.0,1,chevrolet
14.0,8,400.0,175.0,4464.00,11.5,71.0,1,pontiac
14.0,8,351.0,153.0,4154.00,13.5,71.0,1,ford
14.0,8,318.0,150.0,4096.00,13.0,71.0,1,plymouth
12.0,8,383.0,180.0,4955.00,11.5,71.0,1,dodge
13.0,8,400.0,170.0,4746.00,12.0,71.0,1,ford
13.0,8,400.0,175.0,5140.00,12.0,71.0,1,pontiac
18.0,6,258.0,110.0,2962.00,13.5,71.0,1,amc
22.0,4,140.0,72.0,2408.00,19.0,71.0,1,chevrolet
19.0,6,250.0,100.0,3282.00,15.0,71.0,1,pontiac
18.0,6,250.0,88.0,3139.00,14.5,71.0,1,ford
23.0,4,122.0,86.0,2220.00,14.0,71.0,1,mercury
28.0,4,116.0,90.0,2123.00,14.0,71.0,2,opel
30.0,4,79.0,70.0,2074.00,19.5,71.0,2,peugeot
30.0,4,88.0,76.0,2065.00,14.5,71.0,2,fiat
31.0,4,71.0,65.0,1773.00,19.0,71.0,3,toyota
35.0,4,72.0,69.0,1613.00,18.0,71.0,3,datsun
27.0,4,97.0,60.0,1834.00,19.0,71.0,2,volkswagen
26.0,4,91.0,70.0,1955.00,20.5,71.0,1,plymouth
24.0,4,113.0,95.0,2278.00,15.5,72.0,3,toyota
25.0,4,97.4,80.0,2126.00,17.0,72.0,1,dodge
23.0,4,97.0,54.0,2254.00,23.5,72.0,2,volkswagen
20.0,4,140.0,90.0,2408.00,19.5,72.0,1,chevrolet
21.0,4,122.0,86.0,2226.00,16.5,72.0,1,ford
13.0,8,350.0,165.0,4274.00,12.0,72.0,1,chevrolet
14.0,8,400.0,175.0,4385.00,12.0,72.0,1,pontiac
15.0,8,318.0,150.0,4135.00,13.5,72.0,1,plymouth
14.0,8,351.0,153.0,4129.00,13.0,72.0,1,ford
17.0,8,304.0,150.0,3672.00,11.5,72.0,1,amc
11.0,8,429.0,208.0,4633.00,11.0,72.0,1,mercury
13.0,8,350.0,155.0,4502.00,13.5,72.0,1,buick
12.0,8,350.0,160.0,4456.00,13.5,72.0,1,oldsmobile
13.0,8,400.0,190.0,4422.00,12.5,72.0,1,chrysler
19.0,4,70.0,97.0,2330.00,13.5,72.0,3,mazda
15.0,8,304.0,150.0,3892.00,12.5,72.0,1,amc
13.0,8,307.0,130.0,4098.00,14.0,72.0,1,chevrolet
13.0,8,302.0,140.0,4294.00,16.0,72.0,1,ford
14.0,8,318.0,150.0,4077.00,14.0,72.0,1,plymouth
18.0,4,121.0,112.0,2933.00,14.5,72.0,2,volvo
22.0,4,121.0,76.0,2511.00,18.0,72.0,2,volkswagen
21.0,4,120.0,87.0,2979.00,19.5,72.0,2,peugeot
26.0,4,96.0,69.0,2189.00,18.0,72.0,2,renault
22.0,4,122.0,86.0,2395.00,16.0,72.0,1,ford
28.0,4,97.0,92.0,2288.00,17.0,72.0,3,datsun
23.0,4,120.0,97.0,2506.00,14.5,72.0,3,toyota
28.0,4,98.0,80.0,2164.00,15.0,72.0,1,dodge
27.0,4,97.0,88.0,2100.00,16.5,72.0,3,toyota
13.0,8,350.0,175.0,4100.00,13.0,73.0,1,buick
14.0,8,304.0,150.0,3672.00,11.5,73.0,1,amc
13.0,8,350.0,145.0,3988.00,13.0,73.0,1,chevrolet
14.0,8,302.0,137.0,4042.00,14.5,73.0,1,ford
15.0,8,318.0,150.0,3777.00,12.5,73.0,1,dodge
12.0,8,429.0,198.0,4952.00,11.5,73.0,1,mercury
13.0,8,400.0,150.0,4464.00,12.0,73.0,1,chevrolet
13.0,8,351.0,158.0,4363.00,13.0,73.0,1,ford
14.0,8,318.0,150.0,4237.00,14.5,73.0,1,plymouth
13.0,8,440.0,215.0,4735.00,11.0,73.0,1,chrysler
12.0,8,455.0,225.0,4951.00,11.0,73.0,1,buick
13.0,8,360.0,175.0,3821.00,11.0,73.0,1,amc
18.0,6,225.0,105.0,3121.00,16.5,73.0,1,plymouth
16.0,6,250.0,100.0,3278.00,18.0,73.0,1,chevrolet
18.0,6,232.0,100.0,2945.00,16.0,73.0,1,amc
18.0,6,250.0,88.0,3021.00,16.5,73.0,1,ford
